#	Title	Moose_The_Mooche.xml
#	Source Filename	Moose_The_Mooche.xml
195.667	196	0	4
196	196.5	11	4
196.5	197	8	4
198.5	199	2	4
199	199.333	5	4
199.333	199.667	9	4
199.667	200	0	5
200	200.333	4	5
200.333	200.667	3	5
200.667	201	2	5
201	202	1	5
206	206.167	0	5
206.167	206.333	2	5
206.333	206.5	0	5
206.5	207	11	4
207	207.5	10	4
207.5	208	8	4
208	208.5	7	4
208.5	209	5	4
209	209.5	4	4
209.5	210	0	4
210	210.5	2	4
210.5	211	10	3
211	211.5	7	3
211.5	212	9	3
212	212.5	0	4
212.5	213	9	3
213	213.333	10	3
213.333	213.667	2	4
213.667	214	4	4
214	214.5	9	4
214.5	215	7	4
215	215.5	4	4
215.5	216	0	4
216	216.5	5	4
216.5	217	0	4
217	217.5	2	4
217.5	218	3	4
218	218.167	2	4
218.167	218.333	3	4
218.333	218.5	2	4
218.5	219	0	4
219	220	2	4
222.5	223	5	5
223	223.5	5	5
223.5	224	5	5
224	224.5	5	5
224.5	225	3	5
226.5	228	5	5
228	229	2	5
229	229.5	5	5
229.5	230	0	5
230	231	0	5
231.5	232	9	4
232	232.5	0	5
232.5	233	9	4
234.5	235	11	4
235	235.333	8	4
235.333	235.667	4	4
235.667	236	1	4
236	236.333	10	4
236.333	236.667	0	5
236.667	237	10	4
237	237.5	9	4
237.5	238	7	4
238	238.5	5	4
238.5	239	3	4
239	239.5	2	4
239.5	240	0	4
240	240.5	10	3
240.5	241	9	3
241	241.5	8	3
241.5	242	7	3
242	242.5	10	4
242.5	243	8	4
243	243.5	7	4
243.5	244	5	4
244	244.5	3	4
244.5	245	10	3
245	245.5	0	4
245.5	246	1	4
246	247	1	4
250.5	251	10	3
251	251.5	1	4
251.5	252	2	4
252	252.5	9	3
252.5	253	10	3
253	253.5	0	4
253.5	254	10	3
254	254.5	9	3
254.5	255	6	4
255	255.5	3	4
255.5	256	4	4
256	256.5	5	4
256.5	257	2	4
258	259	2	4
